id,cpu_pct,pred_prob,pred_label,true_label
144,18.8,0.03,0,1
145,11.4,0.0,0,0
146,0.0,0.0,0,0
147,9.8,0.01,0,0
148,4.3,0.08,0,1
149,0.0,0.02,0,1
150,3.2,0.34,0,1
151,4.8,0.0,0,0
152,3.1,0.0,0,0
153,8.1,0.0,0,1
154,9.1,0.02,0,0
155,2.0,0.01,0,0
156,2.2,0.03,0,0
157,6.5,0.07,0,0
158,31.4,0.1,0,1
159,12.5,0.01,0,0
160,12.5,0.14,0,1
161,13.5,0.14,0,1
162,5.5,0.12,0,1
163,7.8,0.0,0,0
164,5.6,0.22,0,1
165,5.0,0.0,0,1
166,9.8,0.0,0,1
167,4.9,0.0,0,0
168,5.4,0.0,0,0
169,2.0,0.0,0,0
170,6.1,0.04,0,1
171,9.9,0.03,0,1
172,9.6,0.0,0,0
173,8.5,0.0,0,0
174,22.2,0.0,0,0
175,13.2,0.11,0,1
176,4.0,0.06,0,1
177,22.9,0.12,0,1
178,17.2,0.0,0,0
179,13.1,0.23,0,1
180,19.5,0.0,0,0
181,10.9,0.01,0,0
182,7.1,0.0,0,1
183,5.8,0.01,0,0
184,13.6,0.15,0,1
185,12.5,0.01,0,0
186,8.2,0.0,0,0
187,8.6,0.13,0,1
188,5.1,0.01,0,0
189,30.0,0.32,0,1
190,6.0,0.06,0,1
191,4.3,0.05,0,0
192,4.9,0.0,0,1
193,36.4,0.1,0,1
194,6.2,0.03,0,1
195,3.4,0.0,0,0
196,14.3,0.0,0,1
197,7.0,0.31,0,1
198,13.3,0.03,0,1
199,14.3,0.0,0,1
200,12.3,0.28,0,1
201,32.0,0.0,0,0
202,42.1,0.01,0,0
203,15.9,0.12,0,1
204,9.4,0.0,0,1
205,11.4,0.0,0,0
206,5.5,0.0,0,1
207,11.1,0.01,0,0
208,15.6,0.14,0,1
209,5.6,0.0,0,0
210,0.0,0.06,0,1
211,5.7,0.32,0,1
212,6.2,0.0,0,0
213,1.6,0.0,0,0
214,8.6,0.04,0,0
215,3.4,0.0,0,0
216,1.4,0.01,0,0
217,4.0,0.04,0,0
218,3.7,0.01,0,0
219,0.0,0.0,0,0
220,4.6,0.07,0,1
221,8.8,0.0,0,0
222,5.9,0.0,0,0
223,7.7,0.01,0,0
224,10.4,0.07,0,1
225,12.9,0.0,0,0
226,16.7,0.18,0,1
227,27.9,0.0,0,0
228,20.5,0.01,0,0
229,19.4,0.18,0,1
230,38.0,0.01,0,0
231,15.5,0.1,0,1
232,35.1,0.0,0,1
233,23.6,0.02,0,0
234,23.4,0.0,0,0
235,19.6,0.13,0,1
236,16.9,0.02,0,0
237,13.2,0.11,0,1
238,28.2,0.0,0,1
239,20.3,0.01,0,0
240,5.8,0.06,0,0
241,18.2,0.01,0,0
242,12.9,0.09,0,1
243,22.4,0.18,0,1
244,22.7,0.09,0,1
245,8.9,0.02,0,1
246,5.3,0.29,0,1
247,9.0,0.0,0,0
248,9.7,0.04,0,1
249,22.6,0.01,0,1
250,4.4,0.04,0,1
251,10.4,0.1,0,0
252,1.4,0.0,0,1
253,0.0,0.05,0,0
254,0.0,0.01,0,0
255,1.7,0.32,0,1
256,4.0,0.0,0,0
257,5.0,0.18,0,1
258,3.6,0.01,0,0
259,3.4,0.12,0,1
260,5.5,0.12,0,1
261,6.6,0.04,0,1
262,2.3,0.0,0,0
263,3.6,0.0,0,0
